"x","y","fert1","fert2","fert3","fert4","ph1","ph2","ph3","tex1","tex2","tex3","tex4"
19.0166671751992,-31.3000007626881,1,0,0,0,1,0,0,0,0,0,1
19.0333338418686,-31.3000007626881,1,0,0,0,1,0,0,0,0,0,1
19.0500005085381,-31.3000007626881,1,0,0,0,1,0,0,0,0,0,1
19.0666671752076,-31.3000007626881,1,0,0,1,1,1,0,0,1,0,1
19.0833338418771,-31.3000007626881,1,0,0,1,1,1,0,0,1,0,1
19.1000005085466,-31.3000007626881,0,0,0,1,0,1,0,1,1,0,0
19.0000005085297,-31.3166674293562,1,0,1,0,1,1,1,0,1,0,1
19.0166671751992,-31.3166674293562,1,0,1,0,1,1,0,0,1,0,1
19.0333338418686,-31.3166674293562,1,0,0,0,1,0,0,0,0,0,1
19.0500005085381,-31.3166674293562,1,0,0,1,1,1,0,0,1,0,1
19.0666671752076,-31.3166674293562,1,0,0,1,1,1,0,0,1,0,1
19.0833338418771,-31.3166674293562,1,0,0,1,1,1,0,0,1,0,1
19.1000005085466,-31.3166674293562,1,0,0,1,1,1,0,1,1,0,1
19.1166671752161,-31.3166674293562,1,0,1,1,1,1,0,0,1,0,1
19.1333338418856,-31.3166674293562,1,0,1,1,1,1,0,1,1,0,1
19.1500005085551,-31.3166674293562,1,0,1,1,1,1,0,1,1,0,1
19.1666671752246,-31.3166674293562,1,0,1,1,1,1,0,1,1,0,1
19.1833338418941,-31.3166674293562,1,0,1,1,1,1,0,1,1,0,1
19.2000005085636,-31.3166674293562,1,0,1,1,1,1,0,1,1,0,1
19.0000005085297,-31.3333340960243,1,0,1,0,1,1,0,0,1,0,1
19.0166671751992,-31.3333340960243,1,0,0,0,1,0,0,0,0,0,1
19.0333338418686,-31.3333340960243,1,0,0,0,1,0,0,0,0,0,1
19.0500005085381,-31.3333340960243,1,0,0,0,1,0,0,0,0,0,1
19.0666671752076,-31.3333340960243,1,0,0,0,1,0,0,0,0,0,1
19.0833338418771,-31.3333340960243,1,0,0,0,1,0,0,0,0,0,1
19.1000005085466,-31.3333340960243,1,0,0,1,1,1,0,0,1,0,1
19.1166671752161,-31.3333340960243,1,0,0,1,1,1,0,1,1,0,1
19.1333338418856,-31.3333340960243,0,0,0,1,0,1,0,1,1,0,0
19.1500005085551,-31.3333340960243,0,0,0,1,0,1,0,1,1,0,0
19.1666671752246,-31.3333340960243,0,0,0,1,0,1,0,1,1,0,0
18.9833338418602,-31.3500007626925,1,0,1,0,1,1,1,0,1,0,1
19.0000005085297,-31.3500007626925,1,0,1,0,1,1,0,0,1,0,1
19.0166671751992,-31.3500007626925,1,0,0,0,1,0,0,0,0,0,1
19.0333338418686,-31.3500007626925,1,0,0,0,1,0,0,0,0,0,1
19.0500005085381,-31.3500007626925,1,0,0,0,1,0,0,0,0,0,1
19.0666671752076,-31.3500007626925,1,0,0,0,1,0,0,0,0,0,1
19.0833338418771,-31.3500007626925,1,0,0,1,1,1,0,0,1,0,1
19.1000005085466,-31.3500007626925,1,0,0,1,1,1,0,0,1,0,1
