Genus,species
Metasequoia,glyptostroboides
Metrosideros,excelsa
Mikania,sp.
Mimosa,pigra
Mirabilis,jalapa
Momordica,charantia
Monstera,deliciosa
Montanoa,hibiscifolia
Moringa,oleifera
Morus,alba
Murraya,paniculata
Musa,sp.
Myoporum,insulare
Myoporum,sp.
Myoporum,tenuifolium
Myriophyllum,aquaticum
Myriophyllum,spicatum
Nassella,tenuissima
Nassella,trichotoma
Nasturtium,officinale
Nephrolepis,cordifolia
Nephrolepis,exaltata
Nerium,oleander
Nicandra,physalodes
Nicotiana,glauca
Nicotiana,tabacum
Nierembergia,hippomanica
Nymphaea,mexicana
Nymphaea,sp.
Oenothera,biennis
Oenothera,glazioviana
Oenothera,jamesii
Oenothera,rosea
Oenothera,sp.
Oenothera,stricta
Olyra,latifolia
Opuntia,aurantiaca
Opuntia,engelmannii
Opuntia,ficus-indica
Opuntia,ficus-indica/stricta
Opuntia,fulgida
Opuntia,humifusa
Opuntia,imbricata
Opuntia,microdasys
Opuntia,monacantha
Opuntia,robusta
Opuntia,sp.
Opuntia,spinulifera
Opuntia,stricta
Opuntia,tomentosa
Orobanche,minor
Oxalis,corniculata
Pandanus,sp.
Paraserianthes,lophantha
Parkinsonia,aculeata
Parthenium,hysterophorus
Parthenocissus,quinquefolia
Paspalum,dilatatum
Paspalum,notatum
Paspalum,quadrifarium
Paspalum,urvillei
Passiflora,caerulea
Passiflora,edulis
Passiflora,sp.
Passiflora,suberosa
Passiflora,subpeltata
Passiflora,tripartita
Pennisetum,clandestinum
Pennisetum,purpureum
Pennisetum,setaceum
Pennisetum,setaceum/villosum
Pennisetum,sp.
Pennisetum,villosum
Pereskia,aculeata
Persea,americana
Persicaria,capitata
Persicaria,lapathifolia
Phoenix,canariensis
Phoenix,dactylifera
Phormium,tenax
Physalis,peruviana
Physalis,viscosa
Phytolacca,dioica
Phytolacca,icosandra
Pinus,canariensis
Pinus,cf.
Pinus,elliottii
Pinus,elliottii/taeda
Pinus,halepensis
Pinus,patula
Pinus,pinaster
Pinus,pinea
Pinus,radiata
Pinus,roxburghii
Pinus,sp.
Pinus,taeda
Pistia,stratiotes
Pittosporum,undulatum
Plantago,lanceolata
Plantago,major
Plantago,virginica
Platanus,sp.
Plectranthus,comosus
Pomaderris,kumerho
Pontederia,cordata
Populus,alba
Populus,alba/canescens
Populus,deltoides
Populus,nigra
Prosopis,glandulosa
Prosopis,glandulosa
Prosopis,velutina
Prunus,armeniaca
Prunus,persica
Prunus,serotina
Pseudognaphalium,luteoalbum
Psidium,cattleianum
Psidium,guajava
Psidium,guineense
Psidium,sp.
Pterocarya,stenoptera
Pueraria,montana
Punica,granatum
Pyracantha,angustifolia
Pyracantha,angustifolia/crenulata
Pyracantha,coccinea
Pyracantha,crenulata
Pyracantha,sp.
Pyrostegia,venusta
Pyrus,sp.
Quercus,canariensis
Quercus,cerris
Quercus,palustris
Quercus,robur
Quercus,sp.
Quercus,suber
Rapistrum,rugosum
Richardia,brasiliensis
Richardia,humistrata
Ricinus,communis
Rivina,humilis
Robinia,pseudoacacia
Rosa,multiflora
Rosa,odorata
Rosa,rubiginosa
Rosa,sp.
Rubus,cuneifolius
Rubus,flagellaris
Rubus,fruticosus
Rubus,pascuus
Rubus,phoenicolasius
Rubus,rosifolius
Rubus,sp.
Rumex,crispus
Rumex,usambarensis
Saccharum,officinarum
Salix,babylonica
Salix,caprea
Salix,fragilis
Salsola,kali/tragus
Salvia,verbenaca
Salvinia,molesta
Sambucus,canadensis
Sambucus,nigra
Sambucus,sp.
Schefflera,actinophylla
Schefflera,arboricola
Schefflera,elegantissima
Schinus,molle
Schinus,terebinthifolius
Schizolobium,parahyba
Schkuhria,pinnata
Senna,bicapsularis
Senna,corymbosa
Senna,didymobotrya
Senna,hirsuta
Senna,multiglandulosa
Senna,obtusifolia
Senna,occidentalis
Senna,pendula
Senna,septemtrionalis
Senna,sp.
Sesbania,bispinosa
Sesbania,punicea
Sesbania,sesban
Sigesbeckia,orientalis
Silybum,marianum
Sisymbrium,orientale
Sisyrinchium,sp.
Solanum,aculeatissimum
Solanum,betaceum
Solanum,capsicoides
Solanum,chrysotrichum
Solanum,elaeagnifolium
Solanum,mauritianum
Solanum,nigrum
Solanum,panduriforme
Solanum,pseudocapsicum
Solanum,retroflexum
Solanum,seaforthianum
Solanum,sisymbriifolium
Solanum,sp.
Solanum,torvum
Solanum,viarum
Sonchus,asper
Sonchus,oleraceus
Sophora,sp.
Sorghum,halepense
Spartium,junceum
Spathodea,campanulata
Sphagneticola,trilobata
Spiraea,cantoniensis
Stenocarpus,sinuatus
Styphnolobium,japonicum
Symphyotrichum,subulatum
Syncarpia,glomulifera
Syzygium,cumini
Syzygium,jambos
Syzygium,paniculatum
Tabebuia,chrysotricha
Tagetes,minuta
Tamarix,chinensis
Tamarix,ramosissima
Tamarix,sp.
Taraxacum,officinale
Tecoma,stans
Tecoma,tenuiflora
Thevetia,peruviana
Tibouchina,sp.
Tipuana,tipu
Tithonia,diversifolia
Tithonia,diversifolia/rotundifolia
Tithonia,rotundifolia
Toona,ciliata
Torilis,arvensis
Toxicodendron,succedaneum
Tradescantia,fluminensis
Tradescantia,sp.
Tradescantia,zebrina
Tragopogon,dubius
Tribulus,terrestris
Tridax,procumbens
Triplaris,americana
Tropaeolum,majus
Ulex,europaeus
Ulmus,parvifolia
Ulmus,procera
Ulmus,sp.
Verbena,bonariensis
Verbena,bonariensis/brasiliensis
Verbena,brasiliensis
Verbena,officinalis
Verbena,rigida
Verbesina,encelioides
Vinca,major
Viola,hederacea
Viola,sororia
Vitex,agnus-castus
Vitex,trifolia
Vitis,sp.
Washingtonia,sp.
Wigandia,urens
Wisteria,floribunda
Xanthium,sp.
Xanthium,spinosum
Xanthium,strumarium
Yucca,aloifolia
Zinnia,peruviana
