NAME,x,y
Overberg Sandstone Fynbos,19.30167715,-34.36047637
Overberg Sandstone Fynbos,19.30167715,-34.37714337
Overberg Sandstone Fynbos,19.93502315,-34.51047937
Overberg Sandstone Fynbos,19.65168415,-34.41047737
Overberg Sandstone Fynbos,19.70168515,-34.41047737
Overberg Sandstone Fynbos,19.31834415,-34.36047637
Overberg Sandstone Fynbos,19.63501715,-34.41047737
Overberg Sandstone Fynbos,19.65168415,-34.72715037
Overberg Sandstone Fynbos,19.58501615,-34.62714837
Overberg Sandstone Fynbos,19.95169015,-34.52714637
Overberg Sandstone Fynbos,19.61835015,-34.54381337
Overberg Sandstone Fynbos,19.68501815,-34.62714837
Overberg Sandstone Fynbos,19.51834815,-34.52714637
Overberg Sandstone Fynbos,19.68501815,-34.59381437
Overberg Sandstone Fynbos,19.63501715,-34.62714837
Overberg Sandstone Fynbos,19.45168015,-34.31047537
Overberg Sandstone Fynbos,19.91835615,-34.52714637
Overberg Sandstone Fynbos,19.70168515,-34.44381137
Overberg Sandstone Fynbos,19.43501315,-34.31047537
Overberg Sandstone Fynbos,19.21834215,-34.37714337
Overberg Sandstone Fynbos,19.65168415,-34.62714837
Overberg Sandstone Fynbos,19.18500815,-34.37714337
Overberg Sandstone Fynbos,19.60168315,-34.54381337
Overberg Sandstone Fynbos,19.45168015,-34.37714337
Overberg Sandstone Fynbos,19.46834715,-34.37714337
Overberg Sandstone Fynbos,19.70168515,-34.59381437
Overberg Sandstone Fynbos,19.20167515,-34.37714337
Overberg Sandstone Fynbos,19.41834615,-34.36047637
Overberg Sandstone Fynbos,19.56834915,-34.44381137
Overberg Sandstone Fynbos,19.56834915,-34.62714837
Overberg Sandstone Fynbos,19.38501215,-34.36047637
Overberg Sandstone Fynbos,19.40167915,-34.36047637
Overberg Sandstone Fynbos,19.80168715,-34.52714637
Overberg Sandstone Fynbos,19.68501815,-34.52714637
Overberg Sandstone Fynbos,19.76835315,-34.52714637
Overberg Sandstone Fynbos,19.71835215,-34.59381437
Overberg Sandstone Fynbos,19.73501915,-34.59381437
Overberg Sandstone Fynbos,19.66835115,-34.52714637
De Hoop Limestone Fynbos,20.41836615,-34.44381137
De Hoop Limestone Fynbos,20.36836515,-34.44381137
De Hoop Limestone Fynbos,20.40169915,-34.44381137
De Hoop Limestone Fynbos,20.26836315,-34.47714537
De Hoop Limestone Fynbos,20.30169715,-34.47714537
De Hoop Limestone Fynbos,20.25169615,-34.47714537
De Hoop Limestone Fynbos,20.38503215,-34.39381037
De Hoop Limestone Fynbos,20.43503315,-34.39381037
De Hoop Limestone Fynbos,20.33503115,-34.42714437
De Hoop Limestone Fynbos,20.36836515,-34.41047737
De Hoop Limestone Fynbos,20.41836615,-34.39381037
De Hoop Limestone Fynbos,20.31836415,-34.49381237
De Hoop Limestone Fynbos,20.35169815,-34.44381137
De Hoop Limestone Fynbos,20.41836615,-34.41047737
De Hoop Limestone Fynbos,20.48503415,-34.42714437
De Hoop Limestone Fynbos,20.50170115,-34.42714437
De Hoop Limestone Fynbos,20.45170015,-34.39381037
De Hoop Limestone Fynbos,20.46836715,-34.39381037
De Hoop Limestone Fynbos,20.40169915,-34.39381037
De Hoop Limestone Fynbos,20.31836415,-34.42714437
De Hoop Limestone Fynbos,20.23502915,-34.46047837
De Hoop Limestone Fynbos,20.10169315,-34.51047937
De Hoop Limestone Fynbos,20.16836115,-34.51047937
De Hoop Limestone Fynbos,20.48503415,-34.39381037
De Hoop Limestone Fynbos,20.20169515,-34.51047937
De Hoop Limestone Fynbos,20.38503215,-34.49381237
De Hoop Limestone Fynbos,20.28503015,-34.41047737
De Hoop Limestone Fynbos,20.26836315,-34.51047937
De Hoop Limestone Fynbos,20.35169815,-34.39381037
De Hoop Limestone Fynbos,20.36836515,-34.39381037
De Hoop Limestone Fynbos,20.16836115,-34.49381237
De Hoop Limestone Fynbos,20.40169915,-34.41047737
De Hoop Limestone Fynbos,20.20169515,-34.47714537
De Hoop Limestone Fynbos,20.15169415,-34.52714637
De Hoop Limestone Fynbos,20.43503315,-34.41047737
De Hoop Limestone Fynbos,20.45170015,-34.41047737
