x,y
19.55168215,-34.57714737
19.58501615,-34.19380637
19.56834915,-34.17713937
19.43501315,-34.37714337
19.50168115,-34.16047237
19.36834515,-34.37714337
19.56834915,-34.19380637
19.33501115,-34.31047537
19.31834415,-34.31047537
19.35167815,-34.37714337
19.58501615,-34.57714737
20.01835815,-34.54381337
19.53501515,-34.19380637
19.48501415,-34.39381037
19.55168215,-34.19380637
19.76835315,-34.64381537
19.35167815,-34.31047537
19.25167615,-34.31047537
19.26834315,-34.31047537
19.65168415,-34.49381237
19.23500915,-34.31047537
19.56834915,-34.16047237
19.36834515,-34.31047537
19.28501015,-34.29380837
19.23500915,-34.27714137
19.51834815,-34.19380637
19.66835115,-34.42714437
19.70168515,-34.66048237
19.55168215,-34.17713937
19.71835215,-34.42714437
19.63501715,-34.54381337
19.73501915,-34.46047837
19.33501115,-34.37714337
19.81835415,-34.46047837
19.48501415,-34.32714237
19.91835615,-34.51047937
19.53501515,-34.56048037
19.45168015,-34.19380637
19.56834915,-34.56048037
19.60168315,-34.56048037
19.98502415,-34.56048037
20.03502515,-34.56048037
19.43501315,-34.36047637
19.70168515,-34.64381537
19.55168215,-34.47714537
19.56834915,-34.47714537
19.81835415,-34.47714537
19.71835215,-34.61048137
19.61835015,-34.67714937
19.63501715,-34.67714937
19.55168215,-34.56048037
19.18500815,-34.39381037
19.20167515,-34.39381037
19.43501315,-34.21047337
19.45168015,-34.21047337
19.50168115,-34.21047337
19.51834815,-34.21047337
19.86835515,-34.49381237
19.68501815,-34.61048137
19.70168515,-34.61048137
19.66835115,-34.51047937
19.68501815,-34.51047937
19.73501915,-34.62714837
19.83502115,-34.67714937
19.60168315,-34.69381637
19.58501615,-34.42714437
19.18500815,-34.32714237
19.68501815,-34.42714437
19.70168515,-34.42714437
19.23500915,-34.32714237
19.55168215,-34.46047837
19.53501515,-34.51047937
19.61835015,-34.51047937
19.75168615,-34.64381537
19.60168315,-34.67714937
19.30167715,-34.32714237
19.55168215,-34.64381537
19.58501615,-34.64381537
19.60168315,-34.64381537
19.61835015,-34.64381537
19.63501715,-34.64381537
19.65168415,-34.64381537
19.68501815,-34.64381537
19.71835215,-34.41047737
19.20167515,-34.34380937
19.73501915,-34.64381537
19.26834315,-34.32714237
19.28501015,-34.32714237
19.28501015,-34.37714337
19.30167715,-34.29380837
19.60168315,-34.66048237
19.38501215,-34.31047537
19.61835015,-34.66048237
19.63501715,-34.66048237
19.65168415,-34.66048237
19.93502315,-34.52714637
19.71835215,-34.66048237
19.51834815,-34.51047937
19.66835115,-34.61048137
19.61835015,-34.62714837
19.26834315,-34.37714337
19.83502115,-34.69381637
19.70168515,-34.62714837
19.31834415,-34.29380837
19.33501115,-34.29380837
19.26834315,-34.26047437
19.16834115,-34.37714337
19.20167515,-34.32714237
19.21834215,-34.32714237
19.60168315,-34.62714837
19.20167515,-34.31047537
19.25167615,-34.32714237
19.23500915,-34.37714337
19.18500815,-34.36047637
19.30167715,-34.36047637
19.30167715,-34.37714337
19.93502315,-34.51047937
19.65168415,-34.41047737
19.70168515,-34.41047737
19.31834415,-34.36047637
19.63501715,-34.41047737
19.65168415,-34.72715037
19.58501615,-34.62714837
19.95169015,-34.52714637
19.61835015,-34.54381337
19.68501815,-34.62714837
19.51834815,-34.52714637
19.68501815,-34.59381437
19.63501715,-34.62714837
19.45168015,-34.31047537
19.91835615,-34.52714637
19.70168515,-34.44381137
19.43501315,-34.31047537
19.21834215,-34.37714337
19.65168415,-34.62714837
19.18500815,-34.37714337
19.60168315,-34.54381337
19.45168015,-34.37714337
19.46834715,-34.37714337
19.70168515,-34.59381437
19.20167515,-34.37714337
19.41834615,-34.36047637
19.56834915,-34.44381137
19.56834915,-34.62714837
19.38501215,-34.36047637
19.40167915,-34.36047637
19.80168715,-34.52714637
19.68501815,-34.52714637
19.76835315,-34.52714637
19.71835215,-34.59381437
19.73501915,-34.59381437
19.66835115,-34.52714637
20.41836615,-34.44381137
20.36836515,-34.44381137
20.40169915,-34.44381137
20.26836315,-34.47714537
20.30169715,-34.47714537
20.25169615,-34.47714537
20.38503215,-34.39381037
20.43503315,-34.39381037
20.33503115,-34.42714437
20.36836515,-34.41047737
20.41836615,-34.39381037
20.31836415,-34.49381237
20.35169815,-34.44381137
20.41836615,-34.41047737
20.48503415,-34.42714437
20.50170115,-34.42714437
20.45170015,-34.39381037
20.46836715,-34.39381037
20.40169915,-34.39381037
20.31836415,-34.42714437
20.23502915,-34.46047837
20.10169315,-34.51047937
20.16836115,-34.51047937
20.48503415,-34.39381037
20.20169515,-34.51047937
20.38503215,-34.49381237
20.28503015,-34.41047737
20.26836315,-34.51047937
20.35169815,-34.39381037
20.36836515,-34.39381037
20.16836115,-34.49381237
20.40169915,-34.41047737
20.20169515,-34.47714537
20.15169415,-34.52714637
20.43503315,-34.41047737
20.45170015,-34.41047737
20.18502815,-34.51047937
20.48503415,-34.41047737
20.21836215,-34.51047937
20.46836715,-34.42714437
20.25169615,-34.44381137
20.28503015,-34.51047937
20.30169715,-34.51047937
20.38503215,-34.41047737
20.11836015,-34.52714637
20.13502715,-34.52714637
20.21836215,-34.46047837
20.16836115,-34.52714637
20.18502815,-34.52714637
20.20169515,-34.52714637
20.23502915,-34.52714637
20.28503015,-34.52714637
20.23502915,-34.51047937
20.31836415,-34.52714637
20.26836315,-34.44381137
20.08502615,-34.52714637
20.10169315,-34.52714637
20.28503015,-34.42714437
