"","x","y","V.s.Barcoda","Precis.Barcode","Casherb","Casno","Family","Clade","Scientific.Name","Taxon","Latitude.Decimal","Longitude.Decimal","Reference.Acc"
"35",19.104788,-32.362053,8002689,"NBG0086764-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-32.362053,19.104788,"501-2000m"
"36",19.063427,-32.239331,8002683,"PRE0806147-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-32.239331,19.063427,"501-2000m"
"37",19.072672,-34.024665,8005818,"PRE0633552-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-34.024665,19.072672,"501-2000m"
"38",18.96571,-34.011637,8005821,"PRE0071608-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-34.011637,18.96571,"<500m"
"39",19.032682,-33.990342,8005800,"PRE0071604-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.990342,19.032682,"501-2000m"
"40",18.985804,-33.981738,8005816,"PRE0071615-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.981738,18.985804,"501-2000m"
"41",19.509915,-33.961854,8005809,"PRE0477230-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.961854,19.509915,"501-2000m"
"42",19.52027778,-33.94333333,8005810,"NBG0213434-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.94333333,19.52027778,"GPS"
"43",19.156826,-33.914351,8005782,"PRE0239417-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.914351,19.156826,"501-2000m"
"44",19.199171,-33.870513,8005796,"PRE0071610-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.870513,19.199171,"501-2000m"
"45",19.17886,-33.857045,8005795,"PRE0071573-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.857045,19.17886,"501-2000m"
"46",19.061686,-33.816511,8005808,"PRE0833977-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.816511,19.061686,"501-2000m"
"47",19.063269,-33.806307,8005822,"PRE0560544-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.806307,19.063269,"<500m"
"48",19.035208,-33.76699,8005801,"PRE0071593-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.76699,19.035208,"501-2000m"
"49",19.086641,-33.766762,8005787,"PRE0071605-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.766762,19.086641,"501-2000m"
"50",19.143557,-33.655438,8005790,"PRE0071611-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.655438,19.143557,"501-2000m"
"51",19.100058,-33.617454,8005779,"PRE0072886-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.617454,19.100058,"501-2000m"
"52",19.106879,-33.611513,8005784,"PRE0713455-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.611513,19.106879,"<500m"
"53",19.381768,-33.557401,8005794,"PRE0679355-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.557401,19.381768,"501-2000m"
"54",19.402759,-33.550636,8005793,"PRE0071603-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.550636,19.402759,"501-2000m"
"55",19.396125,-33.537503,8005792,"PRE0071609-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.537503,19.396125,"501-2000m"
"56",19.50725,-33.472407,8005789,"PRE0071606-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.472407,19.50725,"501-2000m"
"57",19.315022,-33.47194,8005788,"PRE0071599-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.47194,19.315022,"501-2000m"
"58",19.27055556,-33.3675,8005781,"NBG0197756-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.3675,19.27055556,"GPS"
"59",18.88852,-34.230115,8003939,"NBG0155741-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-34.230115,18.88852,"501-2000m"
"60",18.41194444,-34.2225,8003918,"SAM0053726-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-34.2225,18.41194444,"501-2000m"
"61",19.056326,-34.084872,8003987,"NBG0182826-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-34.084872,19.056326,"501-2000m"
"62",19.059816,-34.082384,8003986,"PRE0813332-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-34.082384,19.059816,"501-2000m"
"63",20.708717,-33.992894,8003965,"NBG0134885-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.992894,20.708717,"501-2000m"
"64",18.97383,-33.992568,8003900,"PRE0813239-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.992568,18.97383,"501-2000m"
"65",18.972323,-33.991667,8003903,"NBG0182801-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.991667,18.972323,"501-2000m"
"66",18.972522,-33.991556,8003901,"NBG0182809-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.991556,18.972522,"501-2000m"
"67",18.972981,-33.991472,8003973,"NBG0183292-0","","","Orchidaceae","Coryciinae","Ceratandra atrata (L.) T.Durand & Schinz ","CeratAtrat",-33.991472,18.972981,"501-2000m"
