Family,Clade,ScientificName,Taxon,LatitudeDecimal,LongitudeDecimal,ReferenceAcc,Localities,GrowthForm,Trait,,,,,,,,,,
RESTIONACEAE,Restio,Elegia stipularis Mast. ,ElegiStipu,-34.151386,19.032428,501-2000m,37,GRA,OS,,,,,,,,,,
RESTIONACEAE,Restio,Elegia stipularis Mast. ,ElegiStipu,-34.131842,18.925134,501-2000m,37,GRA,OS,,,,,,,,,,
RESTIONACEAE,Restio,Elegia stipularis Mast. ,ElegiStipu,-33.523089,18.594249,501-2000m,37,GRA,OS,,,,,,,,,,
RESTIONACEAE,Restio,Elegia stipularis Mast. ,ElegiStipu,-33.49527778,18.57361111,GPS,37,GRA,OS,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.57694444,19.68083333,GPS,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.387696,20.412305,501-2000m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.381997,19.730909,501-2000m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.315034,18.455177,<500m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.26666667,19.16666667,GPS,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.242188,18.985282,<500m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.2058,21.59528,501-2000m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.189232,18.415921,501-2000m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.156308,19.139381,501-2000m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.155214,19.139264,501-2000m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.143284,18.93986,<500m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-34.045053,18.36967,501-2000m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-33.983894,18.983185,<500m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-33.822324,19.058932,501-2000m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-33.664994,24.383407,501-2000m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-33.63719,23.812278,501-2000m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-33.620631,25.162634,<500m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-33.60087,24.438874,<500m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-33.42603,19.180485,501-2000m,20,GRA,OR,,,,,,,,,,
RESTIONACEAE,Restio,Elegia vaginulata Mast. ,ElegiVagin,-31.30055556,19.00777778,GPS,20,GRA,OR,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-34.08,23.32,A,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-34.06,21.24,A,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-34.05,18.45,B,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.99,20.33,B,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.98,18.43,A,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.98,18.44,A,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.92,18.4,B,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.91,19.12,Null,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.81,22.9,A,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.79,18.78,A,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.77,20.21,B,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.72,21.64,A,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.71,19.88,A,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.68,19.75,B,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.68,23.14,B,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.63,18.78,Null,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.6,18.83,Null,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.48,18.48,B,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.34,19.09,B,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.32,22.04,A,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-33.18,19.01,B,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-32.79,18.72,A,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-32.77,18.59,B,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-32.66,19.13,Null,25,MS,OS,,,,,,,,,,
Asteraceae,Stoebe,Elytropappus rhinocerotis (L.f.) Less.,ElytrRhino,-32.46,19.28,Null,25,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.957861,21.516331,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.928468,20.863181,<500m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.924557,20.862372,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.770867,23.139163,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.661212,21.512821,<500m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.647153,21.497822,<500m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.63719,23.812278,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.632122,21.421772,<500m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.631863,21.421766,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.617729,22.931764,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.596809,23.831536,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.503754,20.656876,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.461555,23.783193,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.450067,23.466397,GPS,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.4375,22.213966,GPS,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.391085,22.409629,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.358872,21.90801,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.352304,22.049502,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.352244,22.047237,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.335844,22.036351,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron album (Thunb.) Fourc. ,LeucaAlbum,-33.320385,21.281591,501-2000m,21,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.770557,19.74602,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.697352,19.566984,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.606568,19.416393,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.53863,19.433844,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.521208,20.147913,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.472222,19.44061,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.396868,19.273825,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.392709,19.28542,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.360053,18.890008,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.353589,18.919409,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.352985,18.954262,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.327635,18.457581,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.316808,19.001707,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.315029,18.449747,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.307087,19.000682,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.303932,18.42526,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.29787,18.823485,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.189299,18.420195,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.148173,19.034664,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.145323,18.327127,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.13454,18.354733,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-34.02948,18.415963,501-2000m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-33.951469,18.377865,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-33.950523,18.447782,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-33.936697,18.384518,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron coniferum (L.) Meisn. ,LeucaConif,-33.935454,18.924035,<500m,26,MS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-33.045954,19.462274,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.946285,19.523533,GPS,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.928019,19.381629,<500m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.920767,19.382997,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.87302,19.064346,<500m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.813187,19.215189,<500m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.747182,19.231399,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.671756,19.325993,<500m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.671705,19.325734,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.668598,19.326097,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.640738,19.082142,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.557834,19.276514,<500m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.538955,19.266601,GPS,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.527771,19.095793,<500m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.488083,19.272174,<500m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.482564,19.229636,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.473084,19.159347,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.462126,19.119715,<500m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.461928,19.119533,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.450095,19.168281,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.425476,19.131409,<500m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.41402,19.161114,<500m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.354592,19.064709,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron glaberrimum (Schltr.) Compton subsp. glaberrimum ,LeucaGlabG,-32.347453,19.01265,501-2000m,24,LS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.582405,19.35461,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.430903,20.675563,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.426467,20.770568,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.418533,20.63436,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.393357,21.728428,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.34984,18.918763,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.221216,21.556354,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.21293,21.557725,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.087154,23.211264,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.046621,23.295462,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.03798,23.237323,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.020059,23.083019,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.01750083,23.90344361,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-34.008336,21.421283,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.993387,20.426875,GPS,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.991243,20.451661,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.990656,20.414378,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.975102,22.586923,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.971937,23.185328,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.970229,19.631208,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.967695,21.219099,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.965657,23.960367,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.960554,21.238984,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.959365,23.524688,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.928609,20.882225,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.924557,20.862372,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.912732,23.160987,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.905493,25.205605,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.905333,23.182751,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.901224,23.400005,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.899263,23.413805,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.896449,25.216505,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.884385,20.909,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.875051,22.045475,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.872098,19.495426,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.865455,20.823537,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.860474,23.505383,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.817548,25.217179,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.816901,20.143608,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.781638,20.720928,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.762279,23.140744,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.742881,20.120044,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.641452,21.577356,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.63644,25.241476,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.606547,25.188558,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.565522,20.943587,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.560245,20.969183,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.559042,20.965711,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.470629,20.935295,501-2000m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron eucalyptifolium H.Buek ex Meisn. ,LeucaEucal,-33.421033,21.206613,<500m,50,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron galpinii E.Phillips & Hutch. ,LeucaGalpi,-34.344219,21.886009,501-2000m,23,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron galpinii E.Phillips & Hutch. ,LeucaGalpi,-34.341283,21.891664,<500m,23,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron galpinii E.Phillips & Hutch. ,LeucaGalpi,-34.341096,21.411353,<500m,23,TS,OS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron galpinii E.Phillips & Hutch. ,LeucaGalpi,-34.270314,21.225808,<500m,23,TS,OS,,,,,,,,,,
