"","","<500m","500m - 2000m","501-2000m","A","A.Galley","B","B.Galley","GPS"
"ElegiExten",0,4,0,1,0,0,0,0,2
"ElegiFenes",0,2,0,8,0,0,0,0,2
"ElegiFilac",0,10,0,55,0,0,0,0,2
"ElegiFistu",0,2,0,20,0,0,0,0,2
"ElegiGalpi",0,0,0,7,0,0,0,0,1
"ElegiGrand",0,4,0,5,0,0,0,0,0
"ElegiGrspi",0,2,0,3,0,0,0,0,1
"ElegiHutch",0,0,0,6,0,0,0,0,2
"ElegiInter",0,1,0,3,0,0,0,0,0
"ElegiJunce",0,14,0,35,0,0,0,0,1
"ElegiMuiri",0,5,0,12,0,0,0,0,1
"ElegiNeesi",0,3,0,7,0,0,0,0,2
"ElegiPersi",0,1,0,14,0,0,0,0,0
"ElegiPromi",0,1,0,10,0,0,0,0,0
"ElegiRacem",0,6,0,12,0,0,0,0,3
"ElegiRigid",0,1,0,1,0,0,0,0,0
"ElegiSpath",0,7,0,14,0,0,0,0,0
"ElegiSquam",0,2,0,5,0,0,0,0,1
"ElegiStipu",0,7,0,29,0,0,0,0,1
"ElegiStoko",0,0,0,2,0,0,0,0,0
"ElegiThroi",0,1,0,7,0,0,0,0,0
"ElegiThyrs",0,0,0,8,0,0,0,0,0
"ElegiVagin",0,6,0,11,0,0,0,0,3
"ElegiVerre",0,4,0,11,0,0,0,0,2
"ElytrAdpre",4,0,0,0,2,0,2,0,0
"ElytrAridu",6,0,0,0,2,0,0,0,0
"ElytrGland",11,0,0,0,2,0,6,0,0
"ElytrGnaph",5,0,0,0,3,0,8,0,0
"ElytrHispi",16,0,0,0,1,0,1,0,0
"ElytrIntri",1,0,0,0,0,0,0,0,0
"ElytrLongi",8,0,0,0,2,0,0,0,0
"ElytrRhino",5,0,0,0,10,0,10,0,0
"ElytrScabe",7,0,0,0,1,0,2,0,0
"EvoteRubig",0,1,0,4,0,0,0,0,3
"HaploLanat",0,3,0,6,0,0,0,0,0
"HaploLyrat",0,1,0,2,0,0,0,0,0
"HaploNervo",0,1,0,1,0,0,0,0,0
"HaploParvi",0,0,0,2,0,0,0,0,0
"KarroCurva",0,4,1,9,1,0,0,0,0
