Barcode,Family,Scientific_Name,Latitude_Decimal,Longitude_Decimal,Collector,Collectors_Number,Collection_Date,CollectionDay,CollectionMonth,CollectionYear,Voucher,Locality,Habitat_Comments,AltitudeFrom,AltitudeMax,AltitudeUnits,District,Province,Grid,Reference_Accuracy,Latitude_Decimal2,Latitude,txtLatitudeMinutes,txtLatitudeSeconds,Direction,Longitude_Decimal2,Longitude,txtLongitudeMinutes,txtLongitudeSeconds,LogitudeDirection,Herb_Number,Type,PRECI_Number,Det,Source_File,Date_Captured
8001939,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.444077,20.472245,Van der Merwe C.V.,818,,,7,1968,Vera,BREDASDORP DIST.; DE HOOP NAT. RES.,,0,0,,Bredasdorp,WC,3420AD,>10000m,-34.444077,34,26,39,S,20.472245,20,28,20,E,,FALSE,PRE0469546-0,,,
8001924,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.582013,20.11615,Smith C.A.,3052,,,9,1926,Vera,BREDASDORP DIST.; NACHTWACHT; BONTEBOK CAMP,,0,0,,BREDASDORP,WC,3420CA,2001-5000m,-34.582013,34,34,55,S,20.11615,20,6,58,E,,FALSE,PRE0216967-0,,,
8001923,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.598575,20.114513,Smith C.A.,2949,,14,10,1926,Vera,BREDASDORP DIST.; NALHTWACHT FARM NR. SCHOOL,,0,0,,Bredasdorp,WC,3420CA,<500m,-34.598575,34,35,55,S,20.114513,20,6,52,E,,FALSE,PRE0216950-0,,,
8001866,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.591747,19.997518,Jordaan P.G.,1114,,25,9,1953,Vera,BREDASDORP DIST; MIERKRAAL; (POORTRIVIER),,0,0,,Bredasdorp,WC,3419DB,2001-5000m,-34.591747,34,35,30,S,19.997518,19,59,51,E,,FALSE,PRE0725680-0,,,
8001847,Asteraceae,Arctotheca calendula (L.) Levyns ,0,0,Dahlstrand K.Å.,1158,,27,9,1966,Vera,CALEDON DIST.; ELGIN; DU TOIT'S FARM,,0,0,,,WC,3419AA,,0,0,0,0,S,0,0,0,0,E,,FALSE,PRE0215480-0,,,
8001860,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.501264,19.42932,Gillett M.C.,4279,,19,9,1938,Vera,CALEDON DIST.; ON RD. FROM STANFORD TO GANSBAAI.,,0,0,,Hermanus,WC,3419CB,5001-10000m,-34.501264,34,30,5,S,19.42932,19,25,46,E,,FALSE,PRE0215464-0,,,
8001931,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.831545,19.99592,Taylor H.C.,10153,,16,11,1979,Vera,CALEDON; AGULHAS; 1.3 KM BEYOND LIGHTHOUSE ON DIRT ROAD WESTWARD (TR 710),,0,0,,Bredasdorp,WC,3419DD,<500m,-34.831545,34,49,54,S,19.99592,19,59,45,E,,FALSE,PRE0605092-0,,,
8001926,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.204863,20.028829,Steyn H.M.,1217,,8,8,2007,Vera,Calvina District. Tankwa Karoo National Park. Remhoogte; lower end of pass.,Slope: gentle. No bioeffect seen. S aspect,509,0,m,Calvinia,NC,3220AA,501-2000m,-32.204863,32,12,18,S,20.028829,20,1,44,E,,FALSE,PRE0770048-0,,,
8001912,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.341169,19.820038,Plowes D.C.H.,7214,,31,8,1986,Vera,CALVINIA DIST.; N SIDE OF HANTAMSBERG,,0,0,,Calvinia,NC,3119BD,>10000m,-31.341169,31,20,28,S,19.820038,19,49,12,E,,FALSE,PRE0706799-0,,,
8001927,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.219225,19.707166,Steyn H.M.,1104,,2,8,2007,Vera,Calvinia District. Tankwa Karoo National Park; between entrance from R355 and Varsfontein. ,Slope: none. Pale yellow flowers. disturbed-other,355,0,m,Calvinia,NC,3219BA,5001-10000m,-32.219225,32,13,9,S,19.707166,19,42,26,E,,FALSE,PRE0770049-0,,,
