V's Barcoda,Precis Barcode,Casherb,Casno,Family,Clade,Scientific_Name,Taxon,Latitude Decimal,Longitude Decimal,Reference Acc,Number of localities,Plant life form ,Growth Form,Growth Form_Vn,Fire response trait,Fire response trait_Vn,,,,,,,,,,
8014930,Null,GRA,Null,Poaceae,Pentameris,Pentaschistis ampla,PentaAmpla,-33.8333,25.5667,B.Galley,48,Perennial graminoid,Null,GRA,Null,Null,,,,,,,,,,
8015443,Null,GRA,Null,Poaceae,Pentameris,Pentaschistis curvifolia,PentaCurvi,-33.8333,25.5667,B.Galley,94,Perennial graminoid,GEO (hemi),GRA,FSS,FS,,,,,,,,,,
8015653,Null,ZH,Null,Poaceae,Pentameris,Pentaschistis eriostoma,PentaErios,-33.21,22.3,B.Galley,70,Perennial graminoid,Null,GRA,Null,Null,,,,,,,,,,
8015710,Null,GALLEY,Null,Poaceae,Pentameris,Pentaschistis glandulosa,PentaGland,-33.3828,24.4503,A.Galley,23,Perennial graminoid,Null,GRA,Null,Null,,,,,,,,,,
8014700,Null,GALLEY,Null,Poaceae,Pentameris,Pentameris macrocalycina,PentmMacro,-33.3623,24.5022,A.Galley,53,Perennial graminoid,GEO (hemi),GRA,ALS,FS,,,,,,,,,,
8010979,PRE-372653,Null,Null,Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.23487,23.461398,501-2000m,34,Perennial shrub,up to 3m,TS ,seeder,OS,,,,,,,,,,
8014111,NBG-231602,Null,Null,Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.099887,23.196095,501-2000m,34,Perennial shrub,up to 3m,TS ,seeder,OS,,,,,,,,,,
8014101,NBG-147351,Null,Null,Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.08565,23.687302,<500m,34,Perennial shrub,up to 3m,TS ,seeder,OS,,,,,,,,,,
8012844,PRE-825266,Null,Null,Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.062449,23.717902,501-2000m,34,Perennial shrub,up to 3m,TS ,seeder,OS,,,,,,,,,,
8019549,NBG-233578,NBG,233578,Restionaceae,Restio,Rhodocoma capensis Steud.,RhodoCapen,-33.10143,23.183324,501-2000m,24,Perennial restioid,GRA,GRA,FS,FS,,,,,,,,,,
8019573,PRE-63541,PRE,63541,Restionaceae,Restio,Rhodocoma capensis Steud.,RhodoCapen,-33.101258,23.184099,501-2000m,24,Perennial restioid,GRA,GRA,FS,FS,,,,,,,,,,
8019624,NBG-233684,NBG,233684,Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.235055,23.45971,501-2000m,76,Perennial restioid,GRA,GRA,OR,OR,,,,,,,,,,
8019713,PRE-64936,PRE,64936,Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.1007,23.190694,501-2000m,76,Perennial restioid,GRA,GRA,OR,OR,,,,,,,,,,
8019711,PRE-64933,PRE,64933,Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.100384,23.191235,501-2000m,76,Perennial restioid,GRA,GRA,OR,OR,,,,,,,,,,
8019296,PRE-711496,PRE,711496,Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.08565,23.687302,<500m,76,Perennial restioid,GRA,GRA,OR,OR,,,,,,,,,,
9002852,NBG0056945-0,NBG,56945,Orchidaceae,Satyrium,Satyrium acuminatum Lindl. ,SatyrAcumi,-33.525378,25.332359,501-2000m,36,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9003943,PRE0557513-0,PRE,557513,Orchidaceae,Satyrium,Satyrium longicolle Lindl. ,SatyrLclle,-33.840363,25.566934,501-2000m,23,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9009085,Null,NBG,190751,Asteraceae,Stoebe,Stoebe fusca (L.) Thunb.,StoebFusca,-32.5,19.54,Null,46,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9009553,Null,NBG,Null,Asteraceae,Stoebe,Stoebe spiralis Less.,StoebSpira,-33.21,21.5,Null,63,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9007237,PRE0019021,PRE,19021,Poaceae,Tribolium,Tribolium echinatum,TriboEchin,-31.5366,18.564907,501-2000m,54,Perennial geophyte herb lithophyte,GEO,GEO,Resprouter,OR,,,,,,,,,,
9007511,GRA,GRA,Null,Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.840363,25.566934,501-2000m,124,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9007491,BOL,BOL,Null,Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.839813,25.565679,501-2000m,124,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9007581,PRE0019189,PRE,19189,Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.812513,25.626396,501-2000m,124,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
9007579,GRA,GRA,Null,Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.812423,25.625829,501-2000m,124,Perennial geophyte herb,GEO,GEO,Resprouter,OR,,,,,,,,,,
