"","V.s.Barcoda","Precis.Barcode","Casherb","Casno","Family","Clade","Scientific.Name","Taxon","Latitude.Decimal","Longitude.Decimal","Reference.Acc","Longitude.Decimal.1","Latitude.Decimal.1"
"404",8002699,"NBG0123944-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-33.94071,18.966106,"501-2000m",18.966106,-33.94071
"406",8002688,"NBG0037174-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-33.730864,19.109016,"501-2000m",19.109016,-33.730864
"407",8002710,"PRE0214554-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-33.694557,19.114546,"<500m",19.114546,-33.694557
"408",8002691,"PRE0561930-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-33.61111111,19.1075,"501-2000m",19.1075,-33.61111111
"410",8002671,"NBG0033960-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-33.478238,19.397859,"501-2000m",19.397859,-33.478238
"413",8002721,"NBG0118090-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-33.390501,20.311357,"501-2000m",20.311357,-33.390501
"415",8002687,"NBG0212099-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-32.76,18.77111111,"GPS",18.77111111,-32.76
"416",8002663,"PRE0214550-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-32.627913,19.143755,"501-2000m",19.143755,-32.627913
"417",8002707,"PRE0732531-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-32.430173,19.15904,"<500m",19.15904,-32.430173
"418",8002689,"NBG0086764-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-32.362053,19.104788,"501-2000m",19.104788,-32.362053
"419",8002683,"PRE0806147-0","","","Asteraceae","Arctotidinae","Arctotis semipapposa (DC.) Beauverd ","ArctoSemip",-32.239331,19.063427,"501-2000m",19.063427,-32.239331
"492",8005818,"PRE0633552-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-34.024665,19.072672,"501-2000m",19.072672,-34.024665
"493",8005821,"PRE0071608-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-34.011637,18.96571,"<500m",18.96571,-34.011637
"494",8005807,"PRE0071601-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.993414,18.926374,"501-2000m",18.926374,-33.993414
"495",8005800,"PRE0071604-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.990342,19.032682,"501-2000m",19.032682,-33.990342
"496",8005816,"PRE0071615-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.981738,18.985804,"501-2000m",18.985804,-33.981738
"497",8005809,"PRE0477230-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.961854,19.509915,"501-2000m",19.509915,-33.961854
"498",8005810,"NBG0213434-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.94333333,19.52027778,"GPS",19.52027778,-33.94333333
"500",8005782,"PRE0239417-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.914351,19.156826,"501-2000m",19.156826,-33.914351
"501",8005796,"PRE0071610-0","","","Restionaceae","Restio","Askidiosperma paniculatum (Mast.) H.P.Linder ","AskidPanic",-33.870513,19.199171,"501-2000m",19.199171,-33.870513
