"","V.s.Barcoda","Precis.Barcode","Casherb","Casno","Family","Clade","Scientific.Name","Taxon","Latitude.Decimal","Longitude.Decimal","Reference.Acc","Longitude.Decimal.1","Latitude.Decimal.1"
"1688",8000359,"PRE0616582-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.23386,18.845084,"501-2000m",18.845084,-32.23386
"1689",8000266,"PRE0022303-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.206239,19.060198,"501-2000m",19.060198,-32.206239
"1695",8000413,"PRE0819261-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.164489,18.783448,"501-2000m",18.783448,-32.164489
"1701",8000394,"PRE0775115-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.149719,19.030492,"501-2000m",19.030492,-32.149719
"1702",8000289,"PRE0063738-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.149624,18.939667,"<500m",18.939667,-32.149624
"1703",8000392,"PRE0775112-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.136484,19.032887,"501-2000m",19.032887,-32.136484
"1704",8000350,"PRE0575082-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.13623,18.974695,"501-2000m",18.974695,-32.13623
"1705",8000249,"PRE0805027-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.126904,19.038543,"501-2000m",19.038543,-32.126904
"1706",8000389,"PRE0738559-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.124439,19.014353,"501-2000m",19.014353,-32.124439
"1707",8000410,"PRE0793207-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.12326,19.009517,"<500m",19.009517,-32.12326
"1709",8000348,"PRE0513718-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.093983,19.1057,"501-2000m",19.1057,-32.093983
"1710",8000368,"PRE0651657-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.088538,18.357584,"501-2000m",18.357584,-32.088538
"1719",8000335,"NBG0161162-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-32.027553,18.332711,"501-2000m",18.332711,-32.027553
"1723",8000932,"PRE0023649-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-31.792052,18.672804,"501-2000m",18.672804,-31.792052
"1724",8000238,"PRE0742656-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-31.782891,18.677309,"501-2000m",18.677309,-31.782891
"1725",8000218,"PRE0681041-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-31.772014,18.764875,"501-2000m",18.764875,-31.772014
"1726",8000223,"PRE0685005-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-31.745494,18.781611,"501-2000m",18.781611,-31.745494
"1728",8000173,"PRE0020931-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-31.684355,19.184556,"501-2000m",19.184556,-31.684355
"1729",8000180,"PRE0022346-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-31.66587,19.18026,"501-2000m",19.18026,-31.66587
"1730",8000234,"PRE0694172-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-31.522856,19.184361,"501-2000m",19.184361,-31.522856
"1733",8000228,"PRE0685019-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-31.378751,19.018605,"501-2000m",19.018605,-31.378751
"1738",8000244,"PRE0775153-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-31.319296,19.120614,"501-2000m",19.120614,-31.319296
"1765",8001080,"SAM0067958-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-34.077274,19.978204,"501-2000m",19.978204,-34.077274
"1772",8001108,"PRE0742579-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-34.008727,19.671939,"<500m",19.671939,-34.008727
"1774",8001021,"NBG0161177-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.991556,18.972522,"501-2000m",18.972522,-33.991556
"1776",8000954,"NBG0161176-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.96935527,19.502607,"<500m",19.502607,-33.96935527
"1779",8001059,"PRE0774614-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.957827,21.316651,"501-2000m",21.316651,-33.957827
"1780",8001060,"PRE0775162-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.957769,21.798632,"<500m",21.798632,-33.957769
"1786",8001037,"NBG0161313-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.932487,18.924604,"<500m",18.924604,-33.932487
"1789",8001049,"PRE0651694-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.919298,21.738995,"501-2000m",21.738995,-33.919298
"1793",8001050,"PRE0682209-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.765449,18.943251,"<500m",18.943251,-33.765449
"1795",8001051,"PRE0709775-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.723781,19.161592,"501-2000m",19.161592,-33.723781
"1796",8001039,"NBG0171473-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.721691,18.94061,"501-2000m",18.94061,-33.721691
"1798",8000957,"PRE0513716-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.642774,21.495367,"501-2000m",21.495367,-33.642774
"1802",8000956,"NBG0161183-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.63276,19.236071,"501-2000m",19.236071,-33.63276
"1807",8001033,"NBG0161302-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.422375,22.76172,"501-2000m",22.76172,-33.422375
"1810",8000994,"PRE0018608-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-33.35194,19.10972,"<500m",19.10972,-33.35194
"1814",8001052,"PRE0709778-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.862865,18.742463,"<500m",18.742463,-32.862865
"1815",8000981,"PRE0651664-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.855878,18.742588,"<500m",18.742588,-32.855878
"1816",8000982,"PRE0682230-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.854436,18.742096,"<500m",18.742096,-32.854436
"1817",8000987,"PRE0775119-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.849775,18.7335,"501-2000m",18.7335,-32.849775
"1818",8000967,"PRE0063825-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.846692,18.731844,"<500m",18.731844,-32.846692
"1819",8000989,"PRE0794263-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.844461,18.732056,"<500m",18.732056,-32.844461
"1821",8000983,"PRE0700698-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.770411,19.446107,"501-2000m",19.446107,-32.770411
"1822",8001126,"PRE0018635-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.744041,18.794301,"501-2000m",18.794301,-32.744041
"1823",8000976,"PRE0478713-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.712727,19.108821,"501-2000m",19.108821,-32.712727
"1824",8000971,"NBG0161292-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.701199,19.102332,"501-2000m",19.102332,-32.701199
"1825",8000961,"PRE0018605-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.631476,19.11129,"501-2000m",19.11129,-32.631476
"1826",8000968,"PRE0063826-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.630595,19.150727,"<500m",19.150727,-32.630595
"1827",8000988,"PRE0775124-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.6273,19.142283,"501-2000m",19.142283,-32.6273
"1829",8000974,"NBG0161315-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.339575,18.799586,"501-2000m",18.799586,-32.339575
"1830",8000977,"PRE0616200-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.339049,18.79958,"501-2000m",18.79958,-32.339049
"1831",8000970,"NBG0161189-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.250611,18.925063,"501-2000m",18.925063,-32.250611
"1832",8000990,"PRE0819257-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.237942,19.154236,"501-2000m",19.154236,-32.237942
"1833",8000978,"PRE0616205-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.23529,18.850612,"<500m",18.850612,-32.23529
"1834",8000969,"PRE0063828-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-32.14289,19.02383,"501-2000m",19.02383,-32.14289
"1835",8000964,"PRE0793445-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-31.754317,18.688845,"<500m",18.688845,-31.754317
"1836",8000986,"PRE0742563-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-31.705465,18.828625,"501-2000m",18.828625,-31.705465
"1837",8000962,"PRE0018630-0","","","Poaceae","Ehrharta","Ehrharta capensis Thunb. ","EhrhaCapen",-31.370356,19.085907,"<500m",19.085907,-31.370356
"1866",8001277,"PRE0238905-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-34.281052,18.9965,"<500m",18.9965,-34.281052
"1868",8001278,"PRE0700730-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-34.011291,19.708372,"<500m",19.708372,-34.011291
"1869",8001282,"NBG0166685-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-34.004181,18.962492,"501-2000m",18.962492,-34.004181
"1870",8001230,"SAM0043138-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.963169,21.194118,"501-2000m",21.194118,-33.963169
"1871",8001264,"PRE0774604-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.960662,21.796129,"501-2000m",21.796129,-33.960662
"1873",8001235,"NBG0161431-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.951889,20.464104,"501-2000m",20.464104,-33.951889
"1874",8001262,"PRE0747380-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.950916,20.458717,"501-2000m",20.458717,-33.950916
"1875",8001252,"PRE0616201-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.946982,21.225313,"501-2000m",21.225313,-33.946982
"1876",8001263,"PRE0747876-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.938552,20.8204,"501-2000m",20.8204,-33.938552
"1877",8001257,"PRE0700716-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.924685,20.859249,"501-2000m",20.859249,-33.924685
"1878",8001238,"NBG0161433-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.923574,20.856733,"<500m",20.856733,-33.923574
"1879",8001250,"PRE0554332-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.916972,22.51377,"501-2000m",22.51377,-33.916972
"1881",8001256,"PRE0695641-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.889677,22.024206,"501-2000m",22.024206,-33.889677
"1882",8001261,"PRE0711940-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.872287,22.030278,"<500m",22.030278,-33.872287
"1883",8001239,"NBG0161434-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.871483,22.029947,"<500m",22.029947,-33.871483
"1887",8001283,"PRE0616834-0","","","Poaceae","Ehrharta","Ehrharta dura Nees ex Trin. ","EhrhaDura",-33.52632,19.103396,"501-2000m",19.103396,-33.52632
"1905",8004931,"NBG0161496-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. natalensis Stapf ","EhrhaErect",-34.330191,18.9447,"501-2000m",18.9447,-34.330191
"1926",8004950,"NBG0079367-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. natalensis Stapf ","EhrhaErect",-34.048381,18.876472,"<500m",18.876472,-34.048381
"1935",8004871,"PRE0513648-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.989184,18.968737,"501-2000m",18.968737,-33.989184
"1938",8004759,"PRE0818843-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.981117,18.426325,"501-2000m",18.426325,-33.981117
"1945",8004836,"PRE0021030-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.966532,23.907368,"501-2000m",23.907368,-33.966532
"1950",8004761,"PRE0818842-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.956112,18.416881,"501-2000m",18.416881,-33.956112
"1951",8004711,"NBG0098105-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.954609,18.435069,"<500m",18.435069,-33.954609
"1956",8004729,"NBG0161446-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.916404,19.158892,"501-2000m",19.158892,-33.916404
"1957",8004802,"PRE0021046-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.911374,22.495003,"501-2000m",22.495003,-33.911374
"1959",8004920,"PRE0021027-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.905493,25.205605,"501-2000m",25.205605,-33.905493
"1960",8004808,"PRE0774566-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.889582,22.024132,"501-2000m",22.024132,-33.889582
"1962",8004827,"NBG0161469-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.809459,19.067378,"<500m",19.067378,-33.809459
"1966",8004754,"PRE0794408-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.721521,23.054085,"<500m",23.054085,-33.721521
"1967",8004753,"PRE0794407-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.695964,23.152258,"<500m",23.152258,-33.695964
"1968",8004876,"PRE0575094-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.69093,19.917352,"501-2000m",19.917352,-33.69093
"1969",8004945,"PRE0727498-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. natalensis Stapf ","EhrhaErect",-33.689998,25.243816,"501-2000m",25.243816,-33.689998
"1970",8004776,"PRE0063838-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.678093,23.148154,"501-2000m",23.148154,-33.678093
"1975",8004740,"NBG0079366-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.612448,19.451454,"501-2000m",19.451454,-33.612448
"1981",8004807,"PRE0774584-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.352899,22.048332,"501-2000m",22.048332,-33.352899
"1982",8004742,"NBG0079400-0","","","Poaceae","Ehrharta","Ehrharta erecta Lam. var. erecta ","EhrhaErect",-33.235195,20.635416,"501-2000m",20.635416,-33.235195
"2091",8001672,"PRE0794413-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.471673,19.779941,"<500m",19.779941,-34.471673
"2103",8001648,"NBG0162654-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.313509,18.951338,"<500m",18.951338,-34.313509
"2104",8001636,"NBG0161611-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.291078,18.879059,"501-2000m",18.879059,-34.291078
"2105",8001677,"PRE0818898-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.289341,18.938717,"501-2000m",18.938717,-34.289341
"2106",8001634,"NBG0161609-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.26861,18.922569,"501-2000m",18.922569,-34.26861
"2110",8001638,"NBG0161616-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.245811,19.142655,"<500m",19.142655,-34.245811
"2113",8001644,"NBG0161626-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.222932,18.404222,"<500m",18.404222,-34.222932
"2117",8001665,"PRE0775104-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.148793,18.929519,"501-2000m",18.929519,-34.148793
"2118",8001659,"PRE0651685-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.126897,18.952493,"501-2000m",18.952493,-34.126897
"2121",8001633,"NBG0161607-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.100556,18.973074,"501-2000m",18.973074,-34.100556
"2124",8001580,"SAM0045846-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.068422,19.853069,"501-2000m",19.853069,-34.068422
"2128",8001668,"PRE0775138-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.04916,19.010382,"501-2000m",19.010382,-34.04916
"2131",8001661,"PRE0700731-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.011291,19.708372,"<500m",19.708372,-34.011291
"2132",8001663,"PRE0742574-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.008727,19.671939,"<500m",19.671939,-34.008727
"2133",8001612,"PRE0633623-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.004181,18.962492,"501-2000m",18.962492,-34.004181
"2134",8001583,"PRE0483319-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-34.001495,18.958971,"<500m",18.958971,-34.001495
"2137",8001605,"NBG0161629-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.986945,18.969075,"501-2000m",18.969075,-33.986945
"2138",8001593,"NBG0161594-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.983894,18.983185,"501-2000m",18.983185,-33.983894
"2139",8001604,"NBG0161627-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.983302,18.985295,"501-2000m",18.985295,-33.983302
"2143",8001609,"NBG0166734-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.954202,18.893242,"501-2000m",18.893242,-33.954202
"2144",8001603,"NBG0161622-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.952715,18.880838,"501-2000m",18.880838,-33.952715
"2148",8001579,"NBG0161633-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.907859,18.777847,"501-2000m",18.777847,-33.907859
"2149",8001613,"PRE0767047-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.905493,25.205605,"501-2000m",25.205605,-33.905493
"2150",8001617,"PRE0833995-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.815946,19.061241,"<500m",19.061241,-33.815946
"2151",8001597,"NBG0161603-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.811192,19.06501,"501-2000m",19.06501,-33.811192
"2152",8001610,"PRE0473888-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.80739,19.064054,"501-2000m",19.064054,-33.80739
"2153",8001607,"NBG0161631-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.806604,19.065095,"501-2000m",19.065095,-33.806604
"2154",8001599,"NBG0161608-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.80618,19.062037,"501-2000m",19.062037,-33.80618
"2156",8001577,"NBG0161593-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.644723,21.497861,"<500m",21.497861,-33.644723
"2157",8001680,"NBG0079551-0","","","Poaceae","Ehrharta","Ehrharta ottonis Kunth ex Nees ","EhrhaOtton",-33.35194,19.10972,"<500m",19.10972,-33.35194
"2163",8004971,"NBG0158089-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-34.219859,19.150547,"501-2000m",19.150547,-34.219859
"2170",8004964,"PRE0020024-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-34.149767,18.928919,"501-2000m",18.928919,-34.149767
"2171",8004996,"PRE0774581-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-34.148836,18.929153,"<500m",18.929153,-34.148836
"2173",8004987,"PRE0651686-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-34.126897,18.952493,"501-2000m",18.952493,-34.126897
"2175",8004981,"PRE0710819-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-34.104591,19.051129,"501-2000m",19.051129,-34.104591
"2176",8005054,"NBG0139284-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. ramosa ","EhrhaRamos",-34.099259,18.42345,"<500m",18.42345,-34.099259
"2177",8004966,"PRE0735354-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-34.048489,19.015287,"501-2000m",19.015287,-34.048489
"2180",8005017,"NBG0079476-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-34.031395,18.880462,"501-2000m",18.880462,-34.031395
"2181",8004979,"PRE0510560-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-34.016143,19.207291,"<500m",19.207291,-34.016143
"2182",8004991,"PRE0488944-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-34.011639,19.03906,"<500m",19.03906,-34.011639
"2184",8005021,"PRE0742587-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-34.008727,19.671939,"<500m",19.671939,-34.008727
"2185",8005002,"PRE0488966-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-34.007742,19.040014,"501-2000m",19.040014,-34.007742
"2186",8004963,"PRE0478918-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-33.999767,18.963504,"<500m",18.963504,-33.999767
"2188",8005150,"NBG0161661-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. ramosa ","EhrhaRamos",-33.996351,20.481744,"501-2000m",20.481744,-33.996351
"2190",8005148,"NBG0161678-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. ramosa ","EhrhaRamos",-33.992476,18.973952,"501-2000m",18.973952,-33.992476
"2191",8005116,"NBG0161674-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. ramosa ","EhrhaRamos",-33.989746,20.457631,"501-2000m",20.457631,-33.989746
"2193",8004985,"PRE0463879-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-33.988904,18.97884,"501-2000m",18.97884,-33.988904
"2196",8005149,"PRE0105555-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. ramosa ","EhrhaRamos",-33.984849,20.482731,"501-2000m",20.482731,-33.984849
"2197",8005025,"PRE0020025-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-33.983894,18.983185,"<500m",18.983185,-33.983894
"2198",8005080,"PRE0020008-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. ramosa ","EhrhaRamos",-33.981758,18.428155,"501-2000m",18.428155,-33.981758
"2202",8005047,"NBG0161660-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. ramosa ","EhrhaRamos",-33.969355,19.502607,"<500m",19.502607,-33.969355
"2203",8005098,"PRE0774580-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. ramosa ","EhrhaRamos",-33.968056,19.502181,"501-2000m",19.502181,-33.968056
"2204",8005010,"SAM0040068-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-33.964465,18.414815,"501-2000m",18.414815,-33.964465
"2207",8005011,"NBG0161657-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-33.960603,18.410154,"501-2000m",18.410154,-33.960603
"2208",8004982,"PRE0818848-0","","","Poaceae","Ehrharta","Ehrharta ramosa (Thunb.) Thunb. subsp. aphylla (Schrad.) Gibbs Russ. ","EhrhaRamos",-33.956112,18.416881,"501-2000m",18.416881,-33.956112
